Date,Open,High,Low,Close,Adj Close,Volume
2021-04-30,27.506990,27.506990,27.503145,27.501093,27.501093,0
2021-05-03,27.616734,27.616734,27.565519,27.648785,27.648785,0
2021-05-04,27.568720,27.568720,27.558826,27.565519,27.565519,0
2021-05-05,27.544611,27.544611,27.470121,27.558826,27.558826,0
2021-05-06,27.481314,27.481314,27.481314,27.470121,27.470121,0
2021-05-07,27.503229,27.503229,27.503229,27.481314,27.481314,0
2021-05-10,27.304220,27.509190,27.304220,27.300516,27.300516,0
2021-05-11,27.583475,27.583475,27.413115,27.509190,27.509190,0
2021-05-12,27.456005,27.494610,27.401278,27.444704,27.444704,0
2021-05-13,27.504356,27.504356,27.378153,27.401278,27.401278,0
2021-05-14,27.371122,27.371122,27.362564,27.378153,27.378153,0
2021-05-17,27.321857,27.321857,27.297119,27.362564,27.362564,0
2021-05-18,27.176758,27.176758,27.176758,27.297119,27.297119,0
2021-05-19,27.198181,27.198181,27.198181,27.176758,27.176758,0
2021-05-20,27.223986,27.223986,27.215506,27.198181,27.198181,0
2021-05-21,27.185678,27.185678,27.185678,27.215506,27.215506,0
2021-05-24,27.264906,27.264906,27.211487,27.185678,27.185678,0
2021-05-25,27.190557,27.207560,27.190557,27.211487,27.211487,0
2021-05-26,27.226667,27.309725,27.226667,27.207560,27.207560,0
2021-05-27,27.409220,27.409220,27.281353,27.309725,27.309725,0
2021-05-28,27.326582,27.326582,27.243507,27.281353,27.281353,0
2021-05-31,27.218817,27.230202,27.218817,27.243507,27.243507,0
2021-06-01,27.138027,27.195955,27.138027,27.230202,27.230202,0
2021-06-02,27.198402,27.198402,27.102638,27.195955,27.195955,0
2021-06-03,27.013651,27.075373,27.013651,27.102638,27.102638,0
2021-06-04,27.220055,27.220055,27.000124,27.075373,27.075373,0
2021-06-07,26.876520,26.928600,26.876520,27.000124,27.000124,0
2021-06-08,26.896046,26.896046,26.896046,26.928600,26.928600,0
2021-06-09,26.834202,26.834202,26.834202,26.896046,26.896046,0
2021-06-10,26.878290,26.878290,26.861506,26.834202,26.834202,0
2021-06-11,26.844852,26.844852,26.795952,26.861506,26.861506,0
2021-06-14,26.887411,26.887411,26.754442,26.795952,26.795952,0
2021-06-15,26.749144,26.749144,26.677147,26.754442,26.754442,0
2021-06-16,26.667793,26.828678,26.667793,26.677147,26.677147,0
2021-06-17,27.114902,27.114902,26.899166,26.828678,26.828678,0
2021-06-18,26.945587,26.945587,26.945587,26.899166,26.899166,0
2021-06-21,27.037386,27.037386,27.017603,26.945587,26.945587,0
2021-06-22,26.989243,27.116434,26.989243,27.017603,27.017603,0
2021-06-23,27.032124,27.032124,27.022661,27.116434,27.116434,0
2021-06-24,27.054371,27.274181,27.054371,27.022661,27.022661,0
2021-06-25,27.306181,27.306181,27.087723,27.274181,27.274181,0
2021-06-28,27.092485,27.131105,27.092251,27.097023,27.097023,0
2021-06-29,26.934477,26.934477,26.934477,27.092251,27.092251,0
2021-06-30,27.020084,27.020084,27.020084,26.934477,26.934477,0
2021-07-01,27.136187,27.136187,27.136187,27.020084,27.020084,0
2021-07-02,27.160257,27.160257,27.160257,27.136187,27.136187,0
2021-07-05,27.097498,27.097498,27.018597,27.080826,27.080826,0
2021-07-06,27.060059,27.060059,27.018658,27.018597,27.018597,0
2021-07-07,27.060480,27.060480,27.014465,27.018658,27.018658,0
2021-07-08,27.086523,27.086523,27.039000,27.014465,27.014465,0
2021-07-09,27.048933,27.074116,27.048933,27.039000,27.039000,0
2021-07-12,27.036385,27.036385,27.023869,27.033426,27.033426,0
2021-07-13,27.087217,27.087217,27.087217,27.023869,27.023869,0
2021-07-14,27.025040,27.025040,27.025040,27.087217,27.087217,0
2021-07-15,26.956070,27.027737,26.956070,27.025040,27.025040,0
2021-07-16,27.043867,27.043867,26.972088,27.027737,27.027737,0
2021-07-19,26.969915,26.979149,26.969915,26.962492,26.962492,0
2021-07-20,26.936262,26.961803,26.936262,26.932953,26.932953,0
2021-07-21,26.963749,26.979954,26.963749,26.961803,26.961803,0
2021-07-22,26.945623,26.945623,26.942276,26.979954,26.979954,0
2021-07-23,26.962177,26.962177,26.783535,26.942276,26.942276,0
2021-07-26,26.781031,26.781031,26.746323,26.770109,26.770109,0
2021-07-27,26.711664,26.711664,26.623466,26.746323,26.746323,0
2021-07-28,26.566793,26.609426,26.566793,26.623466,26.623466,0
2021-07-29,26.518663,26.626324,26.518663,26.609426,26.609426,0
2021-07-30,26.605932,26.605932,26.577999,26.626324,26.626324,0
2021-08-02,26.651333,26.651333,26.586420,26.577999,26.577999,0
2021-08-03,26.630758,26.630758,26.569620,26.586420,26.586420,0
2021-08-04,26.624268,26.681400,26.624268,26.569620,26.569620,0
2021-08-05,26.731234,26.731234,26.696753,26.681400,26.681400,0
2021-08-06,26.737047,26.737047,26.565159,26.696753,26.696753,0
2021-08-09,26.687004,26.687004,26.530964,26.660913,26.660913,0
2021-08-10,26.571421,26.571421,26.507471,26.530964,26.530964,0
2021-08-11,26.530102,26.560787,26.530102,26.507471,26.507471,0
2021-08-12,26.495745,26.499340,26.495745,26.560787,26.560787,0
2021-08-13,26.501034,26.501034,26.430115,26.499340,26.499340,0
2021-08-16,26.330849,26.409796,26.330849,26.430115,26.430115,0
2021-08-17,26.450993,26.450993,26.405657,26.409796,26.409796,0
2021-08-18,26.379513,26.379513,26.379513,26.405657,26.405657,0
2021-08-19,26.388449,26.388449,26.388449,26.379513,26.379513,0
